EMS_CALL_IDENTIFIER,VQ_COLOR_t1,VQ_COLOR_t2,VQ_COLOR_t3,VQ_COLOR_t4,VQ_COLOR_t5,VQ_COLOR_t6,VQ_COLOR_t7,VQ_COLOR_CALLS
1518610587608,3,3,2,3,2,3,2,2
1518610594579,3,3,3,3,2,2,2,2
1518610618415,3,3,3,3,2,2,2,2
1518610629362,3,3,3,2,2,2,2,3
1518610732372,3,3,3,3,3,3,3,2
1518610733469,3,3,3,3,3,3,2,2
1518610772233,3,3,3,0,2,2,2,2
1518610783808,3,3,3,3,2,2,2,3
1518610806160,3,3,3,3,2,2,2,3
1518610824736,3,3,3,3,2,2,2,3
1518610864917,3,3,3,3,1,2,2,2
1518610884566,3,3,3,3,3,3,3,3
1518610922985,3,3,3,3,2,2,2,2
1518610968428,3,3,3,3,2,2,2,3
1518610968876,3,3,3,3,2,2,2,2
1518611035815,3,3,3,3,2,2,2,2
1518611044504,3,3,2,2,2,2,3,3
1518611049691,3,3,3,2,2,2,2,2
1518611053716,3,3,3,3,3,2,2,3
1518611054959,3,3,3,3,2,2,2,2
1518611055807,3,3,3,2,3,2,2,2
1518611077102,3,3,2,3,2,2,2,2
1518611082233,3,3,3,3,0,2,2,2
1518611096295,3,3,2,3,2,2,2,2
1518611101357,3,3,3,3,2,2,2,3
1518611111356,3,3,2,2,2,2,3,3
1518611120715,3,3,2,2,2,2,3,3
1518611238146,3,3,3,3,2,1,1,0
1518611248501,3,3,3,3,2,2,2,2
1518611263463,3,3,3,3,3,3,3,3
1518611317999,3,3,3,3,2,2,2,2
1518611339474,3,3,3,2,3,2,2,2
1518611453209,3,3,3,3,2,2,3,2
1518611469971,3,3,3,3,2,2,2,2
1518611476701,3,3,3,2,3,2,2,2
1518611559974,3,3,3,3,2,2,2,3
1518611605588,3,3,3,3,2,1,2,1
1518611618229,3,3,2,2,2,2,3,3
1518611631676,3,3,3,3,2,2,2,2
1518611633251,3,3,2,3,2,2,2,2
1518611658851,3,3,3,2,2,2,2,2
1518611684523,3,3,3,3,1,2,3,1
1518611701151,3,3,3,3,2,2,2,3
1518611725133,3,3,3,2,2,2,2,2
1518611726632,3,3,2,3,2,2,2,3
1518611733743,3,3,3,3,3,1,2,1
1518611737978,3,3,3,3,3,2,2,2
1518611758942,3,3,3,3,1,2,1,2
1518611760885,3,3,3,3,3,3,3,3
1518611780766,3,3,3,2,2,2,2,3
1518611790757,3,3,3,3,2,2,2,2
1518611821382,3,3,3,3,2,2,2,2
1518611836725,3,3,2,3,2,2,2,2
1518611837083,3,3,3,3,3,3,3,2
1518611838203,3,3,3,3,3,3,2,2
1518611886895,3,3,3,3,3,3,2,2
1518611988938,3,3,3,3,2,2,2,3
1518611993981,3,3,3,3,2,2,2,2
1518612083811,3,3,3,2,2,3,2,3
1518612110469,3,3,3,3,2,2,2,2
1518612120777,3,3,3,3,3,3,3,2
1518612122259,3,3,3,3,3,3,2,2
1518612132011,3,3,3,2,2,2,2,3
1518612152455,3,3,2,2,2,2,3,3
1518612172113,3,3,3,3,3,3,3,2
1518612173274,3,3,3,3,2,2,2,2
1518612239331,3,3,3,3,1,2,2,2
1518612267694,3,3,3,3,2,2,2,3
1518612285410,3,3,3,2,2,2,2,3
1518612285653,3,3,3,3,3,3,2,2
1518612295800,3,3,3,2,2,2,2,2
1518612324591,3,3,3,3,2,2,2,3
1518612325503,3,3,3,2,3,2,2,2
1518612327553,3,3,3,3,2,2,2,2
1518612331923,3,3,3,3,2,2,2,2
1518612377799,3,3,3,3,3,3,3,2
1518612436191,3,3,2,3,3,2,2,2
1518612465185,3,3,3,2,2,2,2,2
1518612475769,3,3,3,3,2,2,2,3
1518612485909,3,3,3,3,3,3,2,2
1518612487064,3,3,3,3,2,2,2,2
1518612538424,3,3,3,3,3,3,3,2
1518612549438,3,3,3,3,3,3,3,2
1518612550567,3,3,3,3,3,3,2,2
1518612556012,3,3,3,3,3,3,2,2
1518612591653,3,3,3,3,3,3,2,2
1518612594467,3,3,3,2,1,2,2,2
1518612595403,3,3,3,3,2,2,2,3
1518612602441,3,3,3,3,1,2,1,2
1518612624238,3,3,3,3,2,2,3,3
1518612632738,3,3,3,3,3,2,3,3
1518612633048,3,3,3,3,2,3,2,2
1518612657119,3,3,3,3,3,3,3,2
1518612658265,3,3,3,1,2,2,3,2
1518612665097,3,3,3,2,1,2,2,2
1518612688882,3,3,3,3,2,3,2,2
1518612708742,3,3,2,3,3,2,2,2
1518612713540,3,3,3,3,2,2,2,3
1518612748971,3,3,3,3,3,3,2,2
1518612771189,3,3,3,3,3,2,3,2
1518612776327,3,3,3,3,3,3,3,3
1518612803680,3,3,3,3,3,3,3,3
1518612816784,3,3,3,3,3,3,3,3
1518612935145,3,3,3,3,3,3,1,2
1518612942933,3,3,3,3,2,3,2,2
1518612955619,3,3,3,2,2,3,2,3
1518612958412,3,3,3,3,2,2,2,3
1518612975823,3,3,3,2,2,2,2,2
1518613018912,3,3,3,3,2,3,2,2
1518613032804,3,3,3,3,2,2,2,2
1518613041065,3,3,3,3,2,2,2,1
1518613050311,3,3,3,3,2,2,2,2
1518613058784,3,3,3,3,2,1,2,1
1518613079289,3,3,3,3,3,1,2,1
1518613079433,3,3,3,3,2,2,2,2
1518613092347,3,3,3,2,2,2,2,3
1518613095929,3,3,3,3,2,2,2,2
1518613131577,3,3,3,3,2,2,2,2
1518613138125,3,3,3,3,3,2,2,2
1518613141644,3,3,3,2,2,3,2,3
1518613146215,3,3,3,3,2,2,2,2
1518613162179,3,3,3,3,2,2,2,2
1518613219099,3,3,3,2,2,2,2,3
1518613276269,3,3,3,1,2,2,3,2
1518613305498,3,3,2,3,2,2,2,2
1518613327249,3,3,3,3,2,2,2,2
1518613343035,3,3,3,2,3,1,2,1
1518613350253,3,3,3,3,2,2,2,2
1518613367281,3,3,3,3,3,3,3,3
1518613397947,3,3,3,2,2,3,2,3
1518613400747,3,3,3,2,3,3,3,2
1518613401396,3,3,3,3,3,1,2,1
1518613416180,3,3,2,3,2,2,2,3
1518613417194,3,3,2,3,2,2,2,2
1518613424164,3,3,3,3,3,3,3,3
1518613424584,3,3,3,3,2,2,2,2
1518613439186,3,3,3,3,3,3,2,3
1518613455161,3,3,3,3,2,2,3,3
1518613470607,3,3,3,3,2,2,2,3
1518613493648,3,3,2,3,3,2,2,2
1518613496329,3,3,3,3,2,2,2,2
1518613496470,3,3,3,3,2,1,2,3
1518613497686,3,3,3,3,2,2,2,2
1518613505672,3,3,3,3,3,2,0,2
1518613607723,3,3,3,3,2,1,2,1
1518613632842,3,3,3,3,3,3,3,2
1518613634014,3,3,3,0,2,2,3,2
1518613645218,3,3,2,3,2,2,2,3
1518613669276,3,3,3,3,2,3,2,2
1518613699128,3,3,3,3,2,2,2,2
1518613744386,3,3,3,2,2,2,2,3
1518613768129,3,3,3,3,2,2,2,2
1518613771107,3,3,3,3,2,2,2,2
1518613785952,3,3,3,2,3,2,2,2
1518613801466,3,3,3,3,2,2,2,2
1518613851874,3,3,2,3,2,2,2,2
1518613904866,3,3,3,2,2,2,2,2
1518613920095,3,3,2,2,3,3,2,2
1518614004243,3,3,3,3,2,2,2,3
1518614017429,3,3,3,2,2,2,2,2
