EMS_CALL_IDENTIFIER,VQ_COLOR_t1,VQ_COLOR_CALLS
1516276111837,3,2
1516276120122,3,3
1516276131827,3,3
1516276151477,3,2
1516276151760,3,3
1516276160865,3,2
1516276164177,3,2
1516276164949,3,2
1516276176796,3,3
1516276189755,3,2
1516276195485,3,3
1516276199766,3,3
1516276200875,3,2
1516276226383,3,2
1516276229654,3,2
1516276281687,3,3
1516276310961,3,2
1516276379349,3,3
1516276390163,3,2
1516276395673,3,3
1516276400149,3,2
1516276432749,3,2
1516276438281,3,2
1516276453830,3,3
1516276454589,3,2
1516276470933,3,2
1516276472115,3,2
1516276506607,3,2
1516276518358,3,2
1516276561654,3,2
1516276614496,3,2
1516276646251,3,2
1516276653219,3,2
1516276707587,3,3
1516276710191,3,3
1516276720521,3,2
1516276721431,3,2
1516276754022,3,2
1516276755208,3,2
1516276763587,3,3
1516276805070,3,2
1516276831239,3,2
1516276864933,3,2
1516276872275,3,3
1516276883113,3,2
1516276887777,3,2
1516276940612,3,2
1516276948859,3,2
1516277016857,3,2
1516277019834,3,3
1516277021734,3,2
1516277028553,3,1
1516277117892,3,3
1516277122610,3,2
1516277155889,3,3
1516277174052,3,2
1516277174195,3,3
1516277189368,3,3
1516277206593,3,2
1516277218450,3,2
1516277219969,3,3
1516277236799,3,2
1516277252721,3,2
1516277279238,3,3
1516277283091,3,3
1516277287052,3,2
1516277322082,3,2
1516277362958,3,3
1516277366242,3,3
1516277366886,3,2
1516277374637,3,2
1516277374879,3,3
1516277380666,3,2
1516277386561,3,2
1516277387682,3,3
1516277389498,3,3
1516277401140,3,2
1516277404342,3,2
1516277423737,3,2
1516277440896,3,2
1516277462543,3,3
1516277490137,3,2
1516277493775,3,3
1516277530202,3,2
1516277535388,3,2
1516277545147,3,2
1516277609830,3,2
1516277617813,3,2
1516277639412,3,2
1516277672308,3,2
1516277688250,3,2
1516277692537,3,2
1516277720592,3,2
1516277737909,3,2
1516277744016,3,2
1516277755576,3,2
1516277763672,3,3
1516277776217,3,2
1516277785909,3,3
1516277794905,3,2
1516277801812,3,2
